textID,selected_text
96d74cb729,"exciting tweeps is"
eee518ae67,"such has Recession"
01082688c6,"happy bday"
33987a8ee5,"like 4w75p I"
726e501993,"weee thats great"
261932614e,"ON I HATES"
afa11da83f,"is blocked soooooo"
e64208b4ef,"all time short"
37bcad24ca,"did my you"
24c92644a4,"total argh bummer"
43b390b336,"didnt I We"
69d6b5d93e,"Did on tavern"
5c1e0b61a1,"sad 2 is"
504e45d9d9,"my hole loose"
ae93ad52a0,"and bad like"
9fce30159a,"Miss you"
00d5195223,"Cramps"
33f19050cf,"my hi or"
f7718b3c23,Im a great
9ef44428d0,river us Stupid
be634ebeb0,do to dead
3dcf4f7e13,bad retail geebus
f0ef04109b,go about to
8be365118e,make me lame
c50bdd4567,cool thats so
334954f215,an hey watching
b783916431,coding another Sunday
1fa8e6ad66,who com found
be38b29042,hot doesnt out
95701e8ed9,depends if guess
4dd58ecd2c,ALONE to Mickey
cf553cccd5,I punk and
55c69c2d52,sun ask did
9b1a52cc02,whered go you
cce5c4744a,film good Body
c7f9d559e2,xoxo Happy mothers
3d2478db59,to missed really
6d846d7d50,at sorry Im
599f51af6b,sorry every feels
87daa62920,never 4n rog
6506dc55ff,am Newark airport
746d87f93e,petrol to walked
ef7ef8e474,the that updating
d3d7b13278,tears be not
ddc07db84e,Hope ur da
67afe60d31,one old until
17d18ba9ef,wonderful SG thinks
ab57d75f20,know i sorry
f0acd25d8e,happy Not
cf3b068b03,FRIENDS episode good
d6c34fa875,oscillate other Ill
614aed9113,insomnia and very
dfa577d3c1,Thanks Ennio
10dcbe4dfb,should bring you
a0bfb12773,and know nice
71f4a9b495,a better I
d33ed264b3,it kitty got
77f88ea9e2,over night time
fe1deac869,nice a way
e591a725ef,though do we
2dbb28cc29,not you okay
a7e4ad250a,for of Salad
7d87899024,Dear you rain
461b51fa58,with love later
c31d79c440,cried hollyoaks just
32ee7ef6c2,life diy forward
29f805a7d2,myself by Terminator
d41fe360e4,the loss dumbface
a04c8c8695,update time to
25e42b2bf2,i love you
5843d17b1d,Kiss Ur cute
474d10ff48,toe I broke
38e69da3a1,I party saturday
972dc5787d,young _LaMont very
0ba6aaf9aa,wrong hmmm my
7a81537034,have tickets cheated
311d2b185b,my the breaks
1e46d72ec6,all were dubiln
390f169584,couches the where
58129e4130,Party for Thanks
e6c9e5e3ab,February 26th
cb5e709de8,a adopted Guess
a14b4ff440,day best ever
5d57a5eda2,on s Thank
1e3561e921,Time got t
c2ea5cb58b,feeling well Not
cde0016d6d,hurts My and
5fc411e8d1,I know _berland
5ffb19ae8f,Gnight Vega shar
76da985a47,in the sticking
3a98aa4762,Happy Mothers Day
886545bbab,am Yes I
2afe118dc3,sweden I call
704c53f4cf,wars star Happy
71fa60d9ff,and day terrible
c238c4dbb7,i cried Me
dc73e85417,Take clean you
af63915fa9,work to afternoon
eb2fc4d281,hope make well
f9382a1f7b,sunshine be work
54670ca807,billie work skype
3ab338c459,followed great Japanese
c7c7f7f025,FML a is
1256e6a4d2,got of up
990cdeae87,cook I David
9a55d83c79,yeh me 2
c8307a482d,tat scenic to
0a21b662a4,i dont and
297f7d9e0f,miss busy i
68901906a4,Story need my
3112944847,ughh the on
8f8334ffa2,Dan made purple
322546026e,yay breaking 200
e6c154f9be,am not bahah
e96d849b35,always awesome Champions
124e30d941,those happy ur
fbb5742bbb,they confirm somebody
e90acf3c42,did in Well
0b0944285d,have expected than
a11da2d3bf,me Playin wishin
161bfc7c8a,the taking seriously
4a65010643,hacked my riley
1b460c82f0,mobile the Sad
43e91a5488,it soothing liked
410dd99aa3,sad man im
b3eadfc565,shirt Laughter thought
480894125b,the best absoute
001617fca4,cried i oh
52f2f23473,exercise My daily
e7e27b0c91,Welcome
834dc73c0c,pmark wit meals
aeb0e9d730,work to go
c672c9da1d,com on for
cbee1946d3,nice not a
b1999f0951,sunburn I a
25510fbf89,the have day
bcb9426abb,BEA weekend wish
0d29624200,Grint I not
3f0f5891ab,love books your
0b34e66ea3,this eye doctor
11de8c0456,I Im Lost
d5712716e9,thank your well
3f90f95beb,animals pretty take
c108e09b19,TweetDeck leak the
7223fdccc2,tikcets ½91 only
f254748cdb,Mothers Happy Day
256453d14f,SAHM a today
8fd01857a9,dreaming awake weekend
37227c0dbf,the Oh returned
20aff2fcb1,you naptime missed
ca223af36e,basketball group Saturdays
90977e9614,love 15min I
433b1ab9ea,comfy sheets mommie
37771d1bc1,_celeste some silence
fa99046452,its thank im
14760477ad,is tired dang
da908a6635,hogging poop have
2053a455e9,YES I watch
1ea547383b,salute muthaths moms
6634c62acf,Hahaha Alright
c7240790da,for congrats the
08ede23635,thanks good know
4e87dcff0e,flavor of you
4b0b53bc98,nite hada morning
fd3a622954,on to 20th
e34af4fd97,happy I memories
0e8aa10a4e,licking you thats
29148dc95c,sunday love mornings
56a15cf6ca,its sunny hate
b99969c2fb,http ONLiNE is
b0f3142cb4,3 i warm
5ff525b74b,worse answer i
4fd80e66e0,or in http
e77a8f8f2d,couldnt all spoiled
4ea7102112,completely agree haha
6a14956779,leave pack she
7c2fcb712e,where u headed
cdd172d6a7,glad about bed
d2a21b3cb7,have included better
799e17e7a7,nice the still
0a49cdbdf6,miss I the
4a13c1093d,killing U 2
9407ce6ccc,Maybe my get
820f19ca44,UK about difference
683bb73c09,my And has
0d14593b11,body forward works
9ac13b3739,yes bahaha movie
16ee71e6df,know I you
f5d47f04f5,not sleeping the
e131c496a2,in still morning
bc6d7b4364,next Simon that
c87be630b5,theory FAIL will
e4ad1684bb,the firewall glad
f7835156a5,woot
03bb148b87,day it miss
b47c430fda,ly http bit
0234e16010,bag yay test
be9ed19513,you StarWarsDay _paintball
bf7240df91,office the to
2f883c6eb1,is St dirty
a1320a5050,com lake at
d72a60bee8,to soz you
bc9ebe0002,life hate my
64ddc1f8a2,have headache come
03f6b8d900,going my lost
2d475b1b23,unfair 3 depressed
87473f5175,real crying tears
7a09871d21,onto a http
96ec2855e4,party burfday wish
45cf9ba329,better Mac me
bab68144cd,veronica WHAT ARCHIE
fc49e426f5,best the are
a172818c9e,misses several dearly
036191bb61,live the action
3ef85c201c,bummer a is
ea348ea738,the forget cant
fd10f463c9,The bread com
e6e02e1be6,to moms fabulous
8112c62d00,the Glad Im
0f89951346,stupid and Teacher
f3ec0395b0,kill to i
37ffa83550,ys6K thank book
cb8c730261,lol good song
be33b5cb9a,by previously internet
4fed31099f,I good and
de288eb45b,causes the buddy
7ab82d9fda,of Mack THANK
9d8a45d308,this saddenning depressing
d25c4179f6,sorry lack buzy
6cd35dd82e,I a best
65275b51e2,longeerr cant thiss
9fae9e3145,then good back
e515132ae4,I appreciate know
df3c7485ae,hour signing last
bd8ba2ad7e,love And I
58be40735c,has stopped My
b5a0a16fd7,know Hi Simon
044f146e5c,amazing with favorite
a8e17db0cc,Poor in head
abda0ac082,mom clean for
b01506af48,to the Why
53969f2468,hate that place
4df63939ef,stars got then
f43efa3560,ALL SiSTER PRETTY
c89e41fc7c,too follow me
b9ec075666,now summer books
ca333e378d,all roads My
5a91b175f6,goodnight
ac00adda49,my sick Its
cf9dc7479a,do scare me
005e2e60d3,my monitor I
0b1fad03e9,online doing know
2c72a5582a,DAY EVERY VOTE
af0778ed50,not having the
1e0416ec46,tour a LOL
1e6f72ea44,made sick ate
cc930f7aa8,anticipating eagerly twitpics
9c202174a3,to com tasks
b9a1df7a8a,bed sux day
7b3132d3cc,out trying chillen
5f80970983,2 then blood
f008d91039,go a carnival
c223721eed,I feel siiiiiickkk
7f8a3308f8,shape Propellerheads harddrive
3f7adda0a4,swords Glorious face
6c60cf0bb2,_89 feel cry
f77651be05,migrains the arent
aff740a028,true lovely of
c3f1116734,Suck My Kelly
4b57011c85,for revising exams
cb4266c560,next laughed logies
dcb3bb2912,reschedule Hi but
f61b40624e,feel lea like
b6d2229b03,love think I
299fda8c5b,hey hey
fbea09d42d,the 8 best
1b62e0c672,sux im i
2452a0aa6a,germany weekends as
8a821c6d63,Maybe was remember
0f93ebfb23,watching get again
dd655c5aee,you certainly studying
e94ceb6edd,downloaded iphone btw
61e8b484df,straight be my
5be41389ce,going Sad need
bd0f0ebc57,doctor him I
772ba56ce6,GREAT Morning to
390f00c85a,muahaz a weird
4a680661d5,dre of congrats
e2505e6219,more thanks tweets
0d85e6d515,by stopped and
086671fad9,get know lol
9c99cd9396,a good and
f35cc8bb35,that it saying
5ba64af2fd,Soup in my
dbd82ea5bd,hilarious its
8b6c53f38b,love the me
e8cb7f18bd,tomorrow Happy to
9ea273deaa,my hat lost
cf0d831059,starting to update
8f0bafc9dc,your the effect
0888d7dab7,morning got synday
04d3c2d056,university about Browsing
8bbaca6e4b,frakking DAYS mon
4a9529e753,him meet dito
8be2d4f69f,pasadena the I
d9c10546e6,Ugh again feel
90be8eaffb,cellphone I phone
8ba332dbbd,new my with
1086c26e82,4vuuy cool twitpic
b357b9e7d2,premier exited Amazing
0050eebd18,for esp like
426cb788e5,go for my
d30d23e543,just was it
04a204382a,backe MUFFINS
2bc1a7126b,are all good
a2fb29c072,of mondayyy lasttt
a2bbae6c4c,fun the in
0ce30035ac,this I Wednesday
b3505b0aa7,go I unfair
99fcc18a8d,movie Good Sexy
2b6bc6920b,got to movin
d40dd3b17b,on guys sad
5aa8a5280f,bottle without in
7dd57c2598,jealous work it
0142108215,phaoloo Thank much
f4aba8da1c,thankful should the
9cf9045a3c,bad I OMG
1962095a32,what hear thats
9acf7846ab,dust frustrated screens
e4d58eb70f,to god i
791b4a40af,going you to
0c415791d1,Change bar inside
3bd0bff670,thanks following for
c7f27553b8,good then luck
a717783c80,getting addressing kill
5a2add1cd8,these cant i
5999397144,overalled up going
54a3eab849,apple nom german
77b6b38e7e,Looks another at
dd6ea8c37a,tummy My hurts
af08dd0be5,2 about Got
3cd447856a,painful else experiencing
d7765a3fd6,one Lol them
509033a1ff,concert that money
b09f14d65a,his had poor
3160620b36,the cancelled Mozzer
b2e3ebc647,aaron for then
1f9644b008,tweat morning twitter
1fee7a1358,at home Headed
42d3659c3d,the from stage
8746563ae3,ryan the happy
01fb29c047,fair bored to
065e4c2dba,acts was well
d0380dbe70,shopping leeds about
d0c092c3ee,Sadly due I
ed92ed183a,still tired 50
75d0302de7,YAY Aly this
96c5092f80,have fun fam
ddbc8dba62,that you the
80b61dc4e6,Mexican bottle fructose
37897b1693,Nt let dont
7a4af13b01,to witty I
000ceaec55,too me
97cd2255be,work hi off
bebfd966a0,tinyurl chtx7e Thanks
bebcdc05ad,welcome show the
e2ea1af68e,Hey Candis
25c3c99b1a,I teen never
ee27c73f40,I love Maitu
f90a6f5da0,i sorry am
49e9fe8b96,to my singapore
b34a3e3d72,contest JB on
0a96d05fdf,arent u Chicago
ab3f55a84d,ii pizza addicted
0437867c21,tired So
80ea9ba96f,had yummy lovely
4914c3c579,fun Yay have
33bb4fcc72,Mamis Why are
f0da745521,awesome thats lucky
351d279fba,outlet my PowerSquid
b5237966b8,Large no hook
55cec41587,for that time
2cbc372326,worse Pop Mom
8997a62a75,El love in
bce5834e03,my I misses
a9b9f7a878,Woo awesome 12
d72edc0bb2,No internet and
2fdd2501d1,it I advice
5fcaa99ec8,my course Just
3dfd82c60f,Im worse even
16f31448e1,know people now
bab04dc463,aah haappy weeeeks
109b636fa5,takes against provide
cc29d748cb,doesnt hard the
bf4b4c0f0b,well lot I
64b297c15e,cute the is
bc1fbaf4a1,Safe well Good
f59d8d766f,suck know weak
8a1bf14c15,cleaning smile creating
acfcaea70b,an Bit last
97e53162ff,dear oh
c0b7788e74,monday my running
15c531b290,playground same swing
23efa13d7c,happy plurk moms
c44b286776,here doin sittin
29ed43caca,2 catch good
6693f9c143,youre no official
94e0c7c638,great wait the
6114b48cb9,a have likes
32463a2751,overrated meetings are
65ed990460,I love the
